"Id","ConversationId","SeedExpectedTask","SeedActualTask","SeedPassed","FollowupExpectedTask","FollowupActualTask","FollowupModel","FollowupPassed","FollowupConfidence","FollowupReason","SeedQuestion","FollowupQuestion","Error"
"C24","20260716-235639554-0000000157","CODING","CODING","True","GENERAL","GENERAL","general","True","0.8","Semantic router selected GENERAL with score 0.73, margin 0.16 and confidence 0.8; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","排查数据库查询变慢。","不继续技术问题了，为什么人容易拖延？",""
"C25","20260716-235650701-0000000158","CODING","CODING","True","LITERARY","LITERARY","literary","True","0.78","Semantic router selected LITERARY with score 0.77, margin 0.05 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","实现一个待办事项接口。","把这个主题写成一句幽默文案。",""
"C26","20260716-235657897-0000000159","CODING","MATH","False","MATH","MATH","math","True","0.84","Semantic router selected MATH with score 0.77, margin 0.24 and confidence 0.84; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","解释接口每秒处理数量。","不要写代码，按每秒八十次计算五分钟总量。",""
"C27","20260716-235711112-0000000160","LITERARY","LITERARY","True","LITERARY","LITERARY","literary","True","0.8","Semantic router selected LITERARY with score 0.77, margin 0.1 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","写一段关于旧车站的故事。","让语气更含蓄。",""
"C28","20260716-235739658-0000000161","LITERARY","LITERARY","True","LITERARY","LITERARY","literary","True","0.82","Context-aware router inherited LITERARY from the previous turn; followupScore=0.82, semanticRoute=followup.","分析一个人物的矛盾性格。","继续分析刚才那个细节。",""
"C29","20260716-235755776-0000000162","LITERARY","LITERARY","True","CODING","CODING","coding","True","0.78","Semantic router selected CODING with score 0.73, margin 0.1 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","把普通通知改成宣传文案。","现在设计存储这些文案的数据库表。",""
"C30","20260716-235758218-0000000163","LITERARY","LITERARY","True","GENERAL","GENERAL","general","True","0.83","Semantic router selected GENERAL with score 0.85, margin 0.12 and confidence 0.83; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","写一首关于时间的诗。","不再创作，请解释时间管理为什么困难。",""
"C31","20260716-235802526-0000000164","LITERARY","LITERARY","True","DAILY","DAILY","general","True","0.79","Semantic router selected DAILY with score 0.76, margin 0.07 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","构思一个侦探故事。","帮我安排今晚写完它的步骤。",""
"C32","20260716-235835279-0000000165","LITERARY","LITERARY","True","MATH","MATH","math","True","0.72","Semantic router selected MATH with score 0.59, margin 0.04 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","写一段关于数字的散文。","其中提到三个人两两交谈，一共有几组？",""
"C33","20260716-235844195-0000000166","MATH","MATH","True","MATH","MATH","math","True","0.79","Context-aware router inherited MATH from the previous turn; followupScore=0.79, semanticRoute=followup.","求一个二次方程的根。","把推导过程再精简一点。",""
"C34","20260716-235849062-0000000167","MATH","MATH","True","MATH","MATH","math","True","0.75","Context-aware router inherited MATH from the previous turn; followupScore=0.75, semanticRoute=followup.","计算连续重试的成功概率。","为什么要这样算？",""
"C35","20260716-235855965-0000000168","MATH","MATH","True","CODING","CODING","coding","True","0.78","Semantic router selected CODING with score 0.79, margin 0.02 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","求一组数据的平均数。","请写 Java 函数自动完成这个计算。",""
"C36","20260716-235858783-0000000169","MATH","MATH","True","DAILY","MATH","math","False","0.79","Semantic router selected MATH with score 0.77, margin 0.06 and confidence 0.79; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","计算未来七天每天应读多少页。","好的，按这个结果安排每天阅读时间。",""
"C37","20260716-235902599-0000000170","MATH","MATH","True","GENERAL","GENERAL","general","True","0.73","Semantic router selected GENERAL with score 0.62, margin 0.05 and confidence 0.73; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","求两个方案的成本差额。","不继续算了，请客观解释机会成本。",""
"C38","20260716-235906397-0000000171","MATH","MATH","True","LITERARY","LITERARY","literary","True","0.74","Semantic router selected LITERARY with score 0.67, margin 0.02 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","计算抛硬币的概率。","用这个结果写一句关于选择的诗。",""
"C39","20260716-235914763-0000000172","DAILY","DAILY","True","DAILY","DAILY","general","True","0.79","Semantic router selected DAILY with score 0.78, margin 0.06 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","安排我明天的学习和运动。","再轻松一点。",""
"C40","20260716-235923782-0000000173","DAILY","DAILY","True","CODING","CODING","coding","True","0.87","Semantic router selected CODING with score 0.89, margin 0.18 and confidence 0.87; status=ROUTED, reason=ACCEPTED.","列一份旅行前检查清单。","把清单做成后端 JSON 数据结构。",""
"C41","20260716-235937370-0000000174","DAILY","DAILY","True","GENERAL","GENERAL","general","True","0.84","Semantic router selected GENERAL with score 0.8, margin 0.21 and confidence 0.84; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled.","安排一周的阅读任务。","不要日程了，评价长期阅读的价值。",""
"C42","20260716-235950831-0000000175","DAILY","DAILY","True","LITERARY","LITERARY","literary","True","0.75","Semantic router selected LITERARY with score 0.67, margin 0.06 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","把写作和复习排进今晚。","以忙碌的今晚为题写两句短诗。",""
"C43","20260717-000313922-0000000184","DAILY","DAILY","True","MATH","MATH","math","True","0.82","Semantic router selected MATH with score 0.8, margin 0.15 and confidence 0.82; status=ROUTED, reason=ACCEPTED. Retry after one provider 502.","安排每天处理一百条记录。","一周总共能处理多少条？",""
"C44","20260717-000052447-0000000177","GENERAL","GENERAL","True","GENERAL","GENERAL","general","True","0.68","Context-aware router inherited GENERAL from the previous turn; followupScore=0.68, semanticRoute=general.","解释为什么人会产生怀旧情绪。","用一个更生活化的例子说明。",""
"C45","20260717-000116158-0000000178","GENERAL","GENERAL","True","GENERAL","GENERAL","general","True","0.76","Context-aware router inherited GENERAL from the previous turn; followupScore=0.76, semanticRoute=followup.","介绍开源软件的基本理念。","继续，但控制在两句话。",""
"C46","20260717-000121694-0000000179","GENERAL","GENERAL","True","CODING","CODING","coding","True","0.8","Semantic router selected CODING with score 0.71, margin 0.17 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","解释什么是隐私。","设计一个保护隐私的用户接口。",""
"C47","20260717-000126627-0000000180","GENERAL","GENERAL","True","DAILY","DAILY","general","True","0.8","Semantic router selected DAILY with score 0.75, margin 0.12 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","说明规律作息的价值。","根据这些原则安排我的睡前流程。",""
"C48","20260717-000136445-0000000181","GENERAL","LITERARY","False","LITERARY","LITERARY","literary","True","0.82","Semantic router selected LITERARY with score 0.78, margin 0.16 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","介绍城市雨夜的特点。","把它写成有氛围感的场景。",""
"C49","20260717-000147985-0000000182","GENERAL","MATH","False","MATH","MATH","math","True","0.82","Semantic router selected MATH with score 0.75, margin 0.19 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","解释成功率是什么意思。","若成功率八成，独立尝试两次都失败的概率是多少？",""
"C50","20260717-000153740-0000000183","CODING","CODING","True","CODING","CODING","coding","True","0.66","Context-aware router inherited CODING from the previous turn; followupScore=0.66, semanticRoute=followup.","分析一个 Java 服务的异常。","继续刚才的排查，但忽略后面引用的“写诗”两个字。",""
