"Id","ExpectedTask","ActualTask","Confidence","FallbackUsed","Question","Reason"
"518","CODING","MATH","0.73","False","怎样测试两个并发审批请求只能成功一个？","Semantic router selected MATH with score 0.62, margin 0.03 and confidence 0.73; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied."
"520","CODING","DAILY","0.72","False","直接给出排查 CPU 持续满载的步骤。","Semantic router selected DAILY with score 0.62, margin 0.0 and confidence 0.72; status=ROUTED, reason=ACCEPTED."
"537","GENERAL","MATH","0.73","False","数学公式先放在一边，用直觉说明为什么概率不能预测单次结果。","Semantic router selected MATH with score 0.65, margin 0.0 and confidence 0.73; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled."
"541","GENERAL","DAILY","0.69","False","我不是要安排旅行，请说明旅行保险通常解决什么问题。","Semantic router selected DAILY with score 0.54, margin 0.0 and confidence 0.69; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled."
"543","GENERAL","DAILY","0.72","False","对比线上课堂和线下课堂的学习体验，但不要为我制定课程表。","Semantic router selected DAILY with score 0.6, margin 0.04 and confidence 0.72; status=ROUTED, reason=ACCEPTED."
"547","GENERAL","LITERARY","0.72","False","What makes a source credible even when it confirms what we already believe?","Semantic router selected LITERARY with score 0.59, margin 0.05 and confidence 0.72; status=ROUTED, reason=ACCEPTED."
"571","DAILY","GENERAL","0.72","False","今天身体不舒服，但有两个必须交的任务，请给最低负担版本。","Semantic router selected GENERAL with score 0.62, margin 0.0 and confidence 0.72; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied."
"580","DAILY","CODING","0.72","False","帮我为一次三十分钟的线上汇报设计会前、会中、会后事项。","Semantic router selected CODING with score 0.63, margin 0.01 and confidence 0.72; status=ROUTED, reason=ACCEPTED."
"595","LITERARY","GENERAL","0.73","False","下面是事实信息，请保留事实但改成有温度的校史介绍：学校建于一九九八年。","Semantic router selected GENERAL with score 0.57, margin 0.09 and confidence 0.73; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied."
"597","LITERARY","DAILY","0.76","False","为一个每天按日程生活、某天突然偏离计划的人设计故事冲突。","Semantic router selected DAILY with score 0.71, margin 0.04 and confidence 0.76; status=ROUTED, reason=ACCEPTED."
"604","LITERARY","DAILY","0.7","False","给下面的普通通知增加一点人情味，但仍保持正式：图书馆周日闭馆。","Semantic router selected DAILY with score 0.55, margin 0.03 and confidence 0.7; status=ROUTED, reason=ACCEPTED."
"619","LITERARY","GENERAL","0.72","False","为儿童读者解释离别，使用故事而不是抽象说理。","Semantic router selected GENERAL with score 0.62, margin 0.02 and confidence 0.72; status=ROUTED, reason=ACCEPTED."
"625","CODING","MATH","0.75","False","我需要用程序求方程，但不要手算；请给出 Java 中的数值求解思路。","Semantic router selected MATH with score 0.68, margin 0.04 and confidence 0.75; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled."
"627","CODING","DAILY","0.73","False","两个审批请求几乎同时到达，都读到 PENDING，怎样保证只有一个执行成功？","Semantic router selected DAILY with score 0.64, margin 0.02 and confidence 0.73; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied."
"636","CODING","GENERAL","0.7","False","为什么使用 `parallelStream()` 后速度反而下降，应该测量哪些指标？","Semantic router selected GENERAL with score 0.58, margin 0.0 and confidence 0.7; status=ROUTED, reason=ACCEPTED."
"643","CODING","DAILY","0.78","False","“提醒我明天开会”是输入样例，请实现解析提醒时间的服务层结构。","Semantic router selected DAILY with score 0.74, margin 0.09 and confidence 0.78; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied."
"649","CODING","DAILY","0.83","False","不要给时间安排，我需要实现一个按优先级和截止时间排序待办事项的 comparator。","Semantic router selected DAILY with score 0.82, margin 0.15 and confidence 0.83; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled."
"653","MATH","CODING","0.75","False","某线程池有八个线程，每个每秒处理五个任务，理想情况下十秒处理多少个？","Semantic router selected CODING with score 0.69, margin 0.04 and confidence 0.75; status=ROUTED, reason=ACCEPTED."
"654","MATH","CODING","0.76","False","一个数据库表有两万行，删除四分之一后还剩多少行？","Semantic router selected CODING with score 0.65, margin 0.09 and confidence 0.76; status=ROUTED, reason=ACCEPTED."
"655","MATH","DAILY","0.71","False","我不是要设计日程：每天读三十五页，四百二十页需要几天？","Semantic router selected DAILY with score 0.59, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED. Explicit context switch detected; previous route inheritance was disabled."
"657","MATH","LITERARY","0.74","False","一个故事有五个角色，每两人之间安排一次对话，共需要多少组对话？","Semantic router selected LITERARY with score 0.63, margin 0.06 and confidence 0.74; status=ROUTED, reason=ACCEPTED."
"660","MATH","CODING","0.73","False","缓存命中率从百分之六十提高到百分之七十五，提升了多少个百分点？","Semantic router selected CODING with score 0.64, margin 0.03 and confidence 0.73; status=ROUTED, reason=ACCEPTED."
"663","MATH","DAILY","0.67","False","一个圆形操场周长为 100π 米，半径是多少？","Semantic router selected DAILY with score 0.48, margin 0.01 and confidence 0.67; status=ROUTED, reason=ACCEPTED."
