"Id","ExpectedTask","ExpectedModel","ActualTask","ActualModel","Confidence","FallbackUsed","SemanticAccepted","Passed","LatencyMs","Question","Reason","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"11","GENERAL","general","GENERAL","general","0.75","False","True","True","1027","为什么良好的睡眠会影响第二天的注意力？","Semantic router selected GENERAL with score 0.66, margin 0.07 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"12","GENERAL","general","CODING","coding","0.71","False","True","False","1083","请说明开源软件通常是怎样运作的。","Semantic router selected CODING with score 0.6, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"13","GENERAL","general","GENERAL","general","0.75","False","True","True","1114","给一个刚进入大学的新生三条适应建议。","Semantic router selected GENERAL with score 0.65, margin 0.08 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"14","GENERAL","general","GENERAL","general","0.69","False","True","True","1126","太阳能和风能分别适合什么样的使用场景？","Semantic router selected GENERAL with score 0.53, margin 0.02 and confidence 0.69; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"15","GENERAL","general","GENERAL","general","0.78","False","True","True","1002","为什么同一件事情会被不同的人理解成不同含义？","Semantic router selected GENERAL with score 0.68, margin 0.12 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"16","GENERAL","general","GENERAL","general","0.71","False","True","True","930","请梳理一次有效沟通通常包含哪些环节。","Semantic router selected GENERAL with score 0.58, margin 0.03 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"17","GENERAL","general","GENERAL","general","0.75","False","True","True","1080","面对两个都不错的选择时，可以怎样做决定？","Semantic router selected GENERAL with score 0.66, margin 0.07 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"18","GENERAL","general","GENERAL","general","0.73","False","True","True","1560","用一个生活中的例子解释什么叫机会成本。","Semantic router selected GENERAL with score 0.62, margin 0.05 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"19","GENERAL","general","GENERAL","general","0.71","False","True","True","967","请客观评价短视频对知识获取的影响。","Semantic router selected GENERAL with score 0.57, margin 0.03 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"20","GENERAL","general","DAILY","general","0.7","False","True","False","918","如果只能保留一个好习惯，你认为哪个最值得保留？","Semantic router selected DAILY with score 0.56, margin 0.03 and confidence 0.7; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"21","DAILY","general","DAILY","general","0.86","False","True","True","963","我明天上午有三门课，下午还要完成作业，怎样安排比较合理？","Semantic router selected DAILY with score 0.83, margin 0.23 and confidence 0.86; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"22","DAILY","general","DAILY","general","0.77","False","True","True","886","帮我把买菜、取快递、洗衣服和复习英语排出先后顺序。","Semantic router selected DAILY with score 0.68, margin 0.11 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"23","DAILY","general","DAILY","general","0.78","False","True","True","1024","我总是在睡前刷手机到很晚，怎样逐步调整作息？","Semantic router selected DAILY with score 0.71, margin 0.1 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"24","DAILY","general","DAILY","general","0.84","False","True","True","1273","下周要考试，但我每天只有两个小时空闲，该如何分配？","Semantic router selected DAILY with score 0.79, margin 0.23 and confidence 0.84; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"25","DAILY","general","DAILY","general","0.82","False","True","True","1051","请为我设计一个不超过三十分钟的晨间流程。","Semantic router selected DAILY with score 0.77, margin 0.18 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"26","DAILY","general","DAILY","general","0.78","False","True","True","783","我今晚需要读书、运动和整理房间，先做什么更合适？","Semantic router selected DAILY with score 0.7, margin 0.12 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"27","DAILY","general","DAILY","general","0.79","False","True","True","939","怎样在一周内养成每天喝足够水的习惯？","Semantic router selected DAILY with score 0.7, margin 0.16 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"28","DAILY","general","DAILY","general","0.82","False","True","True","1255","周末想兼顾休息和复习，请给出一个轻松的安排。","Semantic router selected DAILY with score 0.76, margin 0.17 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"29","DAILY","general","DAILY","general","0.87","False","True","True","1274","我容易忘记交作业，有什么简单的提醒办法？","Semantic router selected DAILY with score 0.83, margin 0.27 and confidence 0.87; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"30","DAILY","general","DAILY","general","0.78","False","True","True","971","请把“准备面试”拆成未来五天每天可以完成的小目标。","Semantic router selected DAILY with score 0.7, margin 0.12 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"31","DAILY","general","DAILY","general","0.81","False","True","True","1116","上午精神最好、晚上容易疲惫，我该怎样分配学习内容？","Semantic router selected DAILY with score 0.74, margin 0.18 and confidence 0.81; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"32","DAILY","general","DAILY","general","0.81","False","True","True","1083","帮我制定一份宿舍大扫除的执行顺序。","Semantic router selected DAILY with score 0.75, margin 0.16 and confidence 0.81; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"33","DAILY","general","DAILY","general","0.8","False","True","True","1054","我每天通勤四十分钟，可以怎样利用这段时间？","Semantic router selected DAILY with score 0.71, margin 0.16 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"34","DAILY","general","DAILY","general","0.83","False","True","True","1347","明天下午两点有会议，请安排我之前需要完成的准备事项。","Semantic router selected DAILY with score 0.8, margin 0.16 and confidence 0.83; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"35","DAILY","general","DAILY","general","0.81","False","True","True","1391","怎样减少拖延，同时又不把一天安排得太紧张？","Semantic router selected DAILY with score 0.74, margin 0.16 and confidence 0.81; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"36","DAILY","general","DAILY","general","0.93","False","True","True","1117","请给我一份外出旅行前一天的检查清单。","Semantic router selected DAILY with score 0.95, margin 0.33 and confidence 0.93; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"37","DAILY","general","DAILY","general","0.74","False","True","True","1169","我想坚持每晚阅读二十分钟，应该如何开始？","Semantic router selected DAILY with score 0.62, margin 0.08 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"38","DAILY","general","DAILY","general","0.76","False","True","True","1381","这周任务很多，如何区分必须完成和可以推迟的事情？","Semantic router selected DAILY with score 0.69, margin 0.06 and confidence 0.76; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"39","DAILY","general","DAILY","general","0.84","False","True","True","1328","帮我安排一次持续七天的早起尝试。","Semantic router selected DAILY with score 0.82, margin 0.17 and confidence 0.84; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"40","DAILY","general","DAILY","general","0.78","False","True","True","1035","我希望今晚十一点前睡觉，请倒推出晚上的活动顺序。","Semantic router selected DAILY with score 0.7, margin 0.1 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"41","LITERARY","literary","LITERARY","literary","0.82","False","True","True","972","把“夕阳落在旧屋顶上”扩写成一段有画面感的描写。","Semantic router selected LITERARY with score 0.71, margin 0.25 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"42","LITERARY","literary","LITERARY","literary","0.81","False","True","True","1341","请为一个发生在雨夜车站的故事设计开头。","Semantic router selected LITERARY with score 0.73, margin 0.19 and confidence 0.81; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"43","LITERARY","literary","LITERARY","literary","0.8","False","True","True","958","这段话读起来太平淡，怎样让情绪更含蓄而有力量？","Semantic router selected LITERARY with score 0.74, margin 0.14 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"44","LITERARY","literary","LITERARY","literary","0.72","False","True","True","894","写四行文字表达离别，但不要直接出现“离开”二字。","Semantic router selected LITERARY with score 0.56, margin 0.06 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"45","LITERARY","literary","LITERARY","literary","0.71","False","True","True","1262","为一间临河的小书店取一个富有意境的名字。","Semantic router selected LITERARY with score 0.52, margin 0.09 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"46","LITERARY","literary","LITERARY","literary","0.71","False","True","True","873","分析《老人与海》中主人公面对失败时的态度。","Semantic router selected LITERARY with score 0.56, margin 0.06 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"47","LITERARY","literary","LITERARY","literary","0.71","False","True","True","1387","让“她走进空房间”这句话带上一种悬疑感。","Semantic router selected LITERARY with score 0.59, margin 0.02 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"48","LITERARY","literary","LITERARY","literary","0.73","False","True","True","1128","请以第一人称描述多年后回到故乡的感受。","Semantic router selected LITERARY with score 0.58, margin 0.08 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"49","LITERARY","literary","LITERARY","literary","0.77","False","True","True","1225","为校园故事设计两个性格互补的主要人物。","Semantic router selected LITERARY with score 0.68, margin 0.12 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"50","LITERARY","literary","LITERARY","literary","0.77","False","True","True","1142","怎样让一个反派角色显得真实而不是单纯邪恶？","Semantic router selected LITERARY with score 0.66, margin 0.15 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"51","LITERARY","literary","LITERARY","literary","0.71","False","True","True","901","请评价这句话的节奏：“风穿过长巷，灯一盏盏熄灭。”","Semantic router selected LITERARY with score 0.57, margin 0.05 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"52","LITERARY","literary","LITERARY","literary","0.77","False","True","True","1388","用克制的语气写一段收到坏消息后的心理活动。","Semantic router selected LITERARY with score 0.69, margin 0.11 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"53","LITERARY","literary","LITERARY","literary","0.86","False","True","True","1265","为科幻故事构思一个出人意料但合理的结局。","Semantic router selected LITERARY with score 0.79, margin 0.27 and confidence 0.86; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"54","LITERARY","literary","LITERARY","literary","0.74","False","True","True","1380","将“今天下雨了，我没有出门”改得更具氛围感。","Semantic router selected LITERARY with score 0.65, margin 0.05 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"55","LITERARY","literary","LITERARY","literary","0.75","False","True","True","1070","解释一个故事采用倒叙开场可能产生什么效果。","Semantic router selected LITERARY with score 0.68, margin 0.03 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"56","LITERARY","literary","LITERARY","literary","0.76","False","True","True","1204","请写一段适合作为咖啡店海报标题的短句。","Semantic router selected LITERARY with score 0.65, margin 0.12 and confidence 0.76; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"57","LITERARY","literary","LITERARY","literary","0.77","False","True","True","1290","比较热烈表达和留白表达在情感描写中的差异。","Semantic router selected LITERARY with score 0.67, margin 0.13 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"58","LITERARY","literary","LITERARY","literary","0.75","False","True","True","1199","给一篇关于童年夏天的文章拟三个标题。","Semantic router selected LITERARY with score 0.58, margin 0.16 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"59","LITERARY","literary","LITERARY","literary","0.74","False","True","True","1178","以“最后一班车已经开走”为首句继续写一小段。","Semantic router selected LITERARY with score 0.61, margin 0.09 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"60","LITERARY","literary","LITERARY","literary","0.74","False","True","True","1093","分析一个角色反复看表这一细节可以暗示什么。","Semantic router selected LITERARY with score 0.66, margin 0.04 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"61","CODING","coding","CODING","coding","0.71","False","True","True","1181","一个服务启动后立刻退出，却没有明显报错，应该从哪些方向定位？","Semantic router selected CODING with score 0.6, margin 0.0 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"62","CODING","coding","CODING","coding","0.83","False","True","True","1043","为什么对象明明已经创建，调用方法时仍可能出现空指针异常？","Semantic router selected CODING with score 0.75, margin 0.21 and confidence 0.83; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"63","CODING","coding","CODING","coding","0.87","False","True","True","1717","设计一个接口，使客户端可以分页查询历史消息。","Semantic router selected CODING with score 0.83, margin 0.25 and confidence 0.87; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"64","CODING","coding","CODING","coding","0.71","False","True","True","862","两个线程同时修改同一条记录时，怎样避免数据互相覆盖？","Semantic router selected CODING with score 0.6, margin 0.01 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"65","CODING","coding","CODING","coding","0.82","False","True","True","846","一个查询在数据量变大后越来越慢，应该怎样排查？","Semantic router selected CODING with score 0.8, margin 0.14 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"66","CODING","coding","CODING","coding","0.74","False","True","True","1215","请解释依赖注入为什么有利于单元测试。","Semantic router selected CODING with score 0.63, margin 0.07 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"67","CODING","coding","CODING","coding","0.79","False","True","True","1284","怎样让文件路径校验避免用户访问授权目录之外的位置？","Semantic router selected CODING with score 0.68, margin 0.17 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"68","CODING","coding","CODING","coding","0.79","False","True","True","1209","一个请求偶尔返回 500，但重新请求又成功，如何定位原因？","Semantic router selected CODING with score 0.72, margin 0.12 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"69","CODING","coding","CODING","coding","0.72","False","True","True","1071","如何设计可回滚的文件修改操作？","Semantic router selected CODING with score 0.63, margin 0.01 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"70","CODING","coding","CODING","coding","0.81","False","True","True","1222","请给出一个适合存储聊天消息的表结构。","Semantic router selected CODING with score 0.74, margin 0.15 and confidence 0.81; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"71","CODING","coding","CODING","coding","0.71","False","True","True","1250","为什么在循环中频繁拼接字符串可能影响性能？","Semantic router selected CODING with score 0.58, margin 0.03 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"72","CODING","coding","CODING","coding","0.79","False","True","True","1081","如果第三方接口响应很慢，后端应当设置哪些保护措施？","Semantic router selected CODING with score 0.71, margin 0.15 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"73","CODING","coding","CODING","coding","0.76","False","True","True","1217","怎样测试控制器在请求参数为空时返回正确的错误信息？","Semantic router selected CODING with score 0.65, margin 0.11 and confidence 0.76; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"74","CODING","coding","CODING","coding","0.74","False","True","True","1389","一个事务方法内部调用另一个事务方法时可能遇到什么问题？","Semantic router selected CODING with score 0.64, margin 0.06 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
"75","CODING","coding","GENERAL","general","0.68","False","True","False","1213","请说明乐观锁和悲观锁分别适合什么场景。","Semantic router selected GENERAL with score 0.5, margin 0.02 and confidence 0.68; status=ROUTED, reason=ACCEPTED.","","localhost","f5757111-1912-4f87-93c1-6cfab465dba4","False","9978188f-aa9e-4434-923c-1a123d40bebd"
"76","CODING","coding","CODING","coding","0.83","False","True","True","1129","如何把模型供应商的不同调用协议封装成可扩展结构？","Semantic router selected CODING with score 0.76, margin 0.23 and confidence 0.83; status=ROUTED, reason=ACCEPTED.","","localhost","1b79d5ed-da4e-4f3b-8d7f-db2a3fd949e1","False","21cf827d-5937-4e70-8d65-2e88aef681c7"
"77","CODING","coding","CODING","coding","0.74","False","True","True","1077","程序读取中文文件后出现乱码，应该检查哪些编码设置？","Semantic router selected CODING with score 0.6, margin 0.11 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","a76fb96c-0d89-43b2-abe6-a79fc81845e1","False","f1aa28be-5c61-4e05-a72e-f81f59511f57"
"78","CODING","coding","CODING","coding","0.73","False","True","True","1156","为什么把密钥直接返回给前端是危险的？","Semantic router selected CODING with score 0.6, margin 0.06 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","f4c206cb-217d-4296-9c27-545ed0088e67","False","3c14ba00-dab7-4402-ae7c-6d8e1093a8ca"
"79","CODING","coding","CODING","coding","0.74","False","True","True","1168","设计一个策略，让主路由失败后自动切换到备用方式。","Semantic router selected CODING with score 0.62, margin 0.07 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","cee2be69-9abd-4582-881a-d3f92f321e10","False","77b31730-5c47-4a6b-8c2e-a0ca6cc30423"
"80","CODING","coding","CODING","coding","0.73","False","True","True","1391","怎样为一个需要审批后才能执行的操作设计状态流转？","Semantic router selected CODING with score 0.64, margin 0.03 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","55280e68-fc61-41b2-8951-8ae587b0d2d2","False","e06e2537-14f8-46b3-b3b9-5316249718b7"
