"Id","ExpectedTask","ExpectedModel","ActualTask","ActualModel","Confidence","FallbackUsed","SemanticAccepted","Passed","LatencyMs","Question","Reason","Error","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"24","DAILY","general","DAILY","general","0.84","False","True","True","932","下周要考试，但我每天只有两个小时空闲，该如何分配？","Semantic router selected DAILY with score 0.79, margin 0.2 and confidence 0.84; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"25","DAILY","general","DAILY","general","0.82","False","True","True","844","请为我设计一个不超过三十分钟的晨间流程。","Semantic router selected DAILY with score 0.77, margin 0.18 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"26","DAILY","general","DAILY","general","0.78","False","True","True","976","我今晚需要读书、运动和整理房间，先做什么更合适？","Semantic router selected DAILY with score 0.7, margin 0.12 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"27","DAILY","general","DAILY","general","0.78","False","True","True","774","怎样在一周内养成每天喝足够水的习惯？","Semantic router selected DAILY with score 0.7, margin 0.13 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"28","DAILY","general","DAILY","general","0.84","False","True","True","944","周末想兼顾休息和复习，请给出一个轻松的安排。","Semantic router selected DAILY with score 0.82, margin 0.18 and confidence 0.84; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"29","DAILY","general","DAILY","general","0.85","False","True","True","903","我容易忘记交作业，有什么简单的提醒办法？","Semantic router selected DAILY with score 0.83, margin 0.21 and confidence 0.85; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"30","DAILY","general","DAILY","general","0.78","False","True","True","1142","请把“准备面试”拆成未来五天每天可以完成的小目标。","Semantic router selected DAILY with score 0.73, margin 0.1 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"31","DAILY","general","DAILY","general","0.81","False","True","True","1046","上午精神最好、晚上容易疲惫，我该怎样分配学习内容？","Semantic router selected DAILY with score 0.74, margin 0.18 and confidence 0.81; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"32","DAILY","general","DAILY","general","0.81","False","True","True","763","帮我制定一份宿舍大扫除的执行顺序。","Semantic router selected DAILY with score 0.75, margin 0.16 and confidence 0.81; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"33","DAILY","general","DAILY","general","0.8","False","True","True","1213","我每天通勤四十分钟，可以怎样利用这段时间？","Semantic router selected DAILY with score 0.71, margin 0.16 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"34","DAILY","general","DAILY","general","0.79","False","True","True","766","明天下午两点有会议，请安排我之前需要完成的准备事项。","Semantic router selected DAILY with score 0.79, margin 0.06 and confidence 0.79; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"35","DAILY","general","DAILY","general","0.79","False","True","True","908","怎样减少拖延，同时又不把一天安排得太紧张？","Semantic router selected DAILY with score 0.74, margin 0.12 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"36","DAILY","general","DAILY","general","0.93","False","True","True","910","请给我一份外出旅行前一天的检查清单。","Semantic router selected DAILY with score 0.95, margin 0.33 and confidence 0.93; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"37","DAILY","general","DAILY","general","0.72","False","True","True","835","我想坚持每晚阅读二十分钟，应该如何开始？","Semantic router selected DAILY with score 0.62, margin 0.01 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"38","DAILY","general","DAILY","general","0.76","False","True","True","934","这周任务很多，如何区分必须完成和可以推迟的事情？","Semantic router selected DAILY with score 0.69, margin 0.06 and confidence 0.76; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"39","DAILY","general","DAILY","general","0.84","False","True","True","863","帮我安排一次持续七天的早起尝试。","Semantic router selected DAILY with score 0.82, margin 0.17 and confidence 0.84; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"40","DAILY","general","DAILY","general","0.78","False","True","True","831","我希望今晚十一点前睡觉，请倒推出晚上的活动顺序。","Semantic router selected DAILY with score 0.7, margin 0.12 and confidence 0.78; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"41","LITERARY","literary","LITERARY","literary","0.82","False","True","True","665","把“夕阳落在旧屋顶上”扩写成一段有画面感的描写。","Semantic router selected LITERARY with score 0.71, margin 0.25 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"42","LITERARY","literary","LITERARY","literary","0.81","False","True","True","1060","请为一个发生在雨夜车站的故事设计开头。","Semantic router selected LITERARY with score 0.73, margin 0.19 and confidence 0.81; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"43","LITERARY","literary","LITERARY","literary","0.8","False","True","True","950","这段话读起来太平淡，怎样让情绪更含蓄而有力量？","Semantic router selected LITERARY with score 0.74, margin 0.14 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"44","LITERARY","literary","LITERARY","literary","0.72","False","True","True","1096","写四行文字表达离别，但不要直接出现“离开”二字。","Semantic router selected LITERARY with score 0.56, margin 0.06 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"45","LITERARY","literary","LITERARY","literary","0.71","False","True","True","831","为一间临河的小书店取一个富有意境的名字。","Semantic router selected LITERARY with score 0.52, margin 0.09 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"46","LITERARY","literary","LITERARY","literary","0.71","False","True","True","935","分析《老人与海》中主人公面对失败时的态度。","Semantic router selected LITERARY with score 0.56, margin 0.06 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"47","LITERARY","literary","LITERARY","literary","0.71","False","True","True","809","让“她走进空房间”这句话带上一种悬疑感。","Semantic router selected LITERARY with score 0.59, margin 0.02 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"48","LITERARY","literary","LITERARY","literary","0.73","False","True","True","935","请以第一人称描述多年后回到故乡的感受。","Semantic router selected LITERARY with score 0.58, margin 0.08 and confidence 0.73; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"49","LITERARY","literary","LITERARY","literary","0.75","False","True","True","996","为校园故事设计两个性格互补的主要人物。","Semantic router selected LITERARY with score 0.68, margin 0.06 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"50","LITERARY","literary","LITERARY","literary","0.77","False","True","True","813","怎样让一个反派角色显得真实而不是单纯邪恶？","Semantic router selected LITERARY with score 0.66, margin 0.15 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"51","LITERARY","literary","LITERARY","literary","0.71","False","True","True","855","请评价这句话的节奏：“风穿过长巷，灯一盏盏熄灭。”","Semantic router selected LITERARY with score 0.57, margin 0.05 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"52","LITERARY","literary","LITERARY","literary","0.8","False","True","True","1037","用克制的语气写一段收到坏消息后的心理活动。","Semantic router selected LITERARY with score 0.74, margin 0.16 and confidence 0.8; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"53","LITERARY","literary","LITERARY","literary","0.86","False","True","True","702","为科幻故事构思一个出人意料但合理的结局。","Semantic router selected LITERARY with score 0.79, margin 0.27 and confidence 0.86; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"54","LITERARY","literary","LITERARY","literary","0.74","False","True","True","1055","将“今天下雨了，我没有出门”改得更具氛围感。","Semantic router selected LITERARY with score 0.65, margin 0.05 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"55","LITERARY","literary","LITERARY","literary","0.75","False","True","True","835","解释一个故事采用倒叙开场可能产生什么效果。","Semantic router selected LITERARY with score 0.68, margin 0.03 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"56","LITERARY","literary","LITERARY","literary","0.82","False","True","True","958","请写一段适合作为咖啡店海报标题的短句。","Semantic router selected LITERARY with score 0.73, margin 0.2 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"57","LITERARY","literary","LITERARY","literary","0.77","False","True","True","1038","比较热烈表达和留白表达在情感描写中的差异。","Semantic router selected LITERARY with score 0.67, margin 0.11 and confidence 0.77; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"58","LITERARY","literary","LITERARY","literary","0.75","False","True","True","752","给一篇关于童年夏天的文章拟三个标题。","Semantic router selected LITERARY with score 0.58, margin 0.16 and confidence 0.75; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"59","LITERARY","literary","LITERARY","literary","0.74","False","True","True","818","以“最后一班车已经开走”为首句继续写一小段。","Semantic router selected LITERARY with score 0.61, margin 0.09 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"60","LITERARY","literary","LITERARY","literary","0.74","False","True","True","1079","分析一个角色反复看表这一细节可以暗示什么。","Semantic router selected LITERARY with score 0.66, margin 0.04 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"61","CODING","coding","CODING","coding","0.71","False","True","True","1058","一个服务启动后立刻退出，却没有明显报错，应该从哪些方向定位？","Semantic router selected CODING with score 0.6, margin 0.0 and confidence 0.71; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"62","CODING","coding","CODING","coding","0.82","False","True","True","953","为什么对象明明已经创建，调用方法时仍可能出现空指针异常？","Semantic router selected CODING with score 0.75, margin 0.18 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"63","CODING","coding","CODING","coding","0.87","False","True","True","1304","设计一个接口，使客户端可以分页查询历史消息。","Semantic router selected CODING with score 0.83, margin 0.25 and confidence 0.87; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"64","CODING","coding","CODING","coding","0.78","False","True","True","1145","两个线程同时修改同一条记录时，怎样避免数据互相覆盖？","Semantic router selected CODING with score 0.71, margin 0.11 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"65","CODING","coding","CODING","coding","0.82","False","True","True","1055","一个查询在数据量变大后越来越慢，应该怎样排查？","Semantic router selected CODING with score 0.8, margin 0.14 and confidence 0.82; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"66","CODING","coding","CODING","coding","0.74","False","True","True","1241","请解释依赖注入为什么有利于单元测试。","Semantic router selected CODING with score 0.63, margin 0.06 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"67","CODING","coding","CODING","coding","0.78","False","True","True","1084","怎样让文件路径校验避免用户访问授权目录之外的位置？","Semantic router selected CODING with score 0.68, margin 0.16 and confidence 0.78; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"68","CODING","coding","CODING","coding","0.75","False","True","True","984","一个请求偶尔返回 500，但重新请求又成功，如何定位原因？","Semantic router selected CODING with score 0.67, margin 0.05 and confidence 0.75; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"69","CODING","coding","CODING","coding","0.72","False","True","True","1422","如何设计可回滚的文件修改操作？","Semantic router selected CODING with score 0.63, margin 0.01 and confidence 0.72; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"70","CODING","coding","CODING","coding","0.81","False","True","True","1266","请给出一个适合存储聊天消息的表结构。","Semantic router selected CODING with score 0.74, margin 0.15 and confidence 0.81; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"71","CODING","coding","CODING","coding","0.74","False","True","True","930","为什么在循环中频繁拼接字符串可能影响性能？","Semantic router selected CODING with score 0.63, margin 0.06 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"72","CODING","coding","CODING","coding","0.79","False","True","True","1148","如果第三方接口响应很慢，后端应当设置哪些保护措施？","Semantic router selected CODING with score 0.71, margin 0.15 and confidence 0.79; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"73","CODING","coding","CODING","coding","0.77","False","True","True","1043","怎样测试控制器在请求参数为空时返回正确的错误信息？","Semantic router selected CODING with score 0.66, margin 0.12 and confidence 0.77; status=ROUTED, reason=ACCEPTED. Instruction focus extraction was applied.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"74","CODING","coding","CODING","coding","0.76","False","True","True","1220","一个事务方法内部调用另一个事务方法时可能遇到什么问题？","Semantic router selected CODING with score 0.66, margin 0.09 and confidence 0.76; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
"75","CODING","coding","CODING","coding","0.68","False","True","True","1183","请说明乐观锁和悲观锁分别适合什么场景。","Semantic router selected CODING with score 0.5, margin 0.01 and confidence 0.68; status=ROUTED, reason=ACCEPTED.","","localhost","4037e8a3-1dbb-485a-ab7e-94a42a6ae864","False","e675ca91-21d3-495f-8a4c-2cb63921a3e0"
"76","CODING","coding","CODING","coding","0.83","False","True","True","1390","如何把模型供应商的不同调用协议封装成可扩展结构？","Semantic router selected CODING with score 0.76, margin 0.23 and confidence 0.83; status=ROUTED, reason=ACCEPTED.","","localhost","b26a1658-6cd3-460f-92de-d2c0a7ade13a","False","5cd6adba-d81e-4e86-8c6f-a9df729c5d7d"
"77","CODING","coding","CODING","coding","0.74","False","True","True","1143","程序读取中文文件后出现乱码，应该检查哪些编码设置？","Semantic router selected CODING with score 0.6, margin 0.09 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","e7a1ba2f-a9a7-4808-acb7-c434175c48d3","False","e83cbef9-5e1c-4a41-9212-490d6bb33a25"
"78","CODING","coding","CODING","coding","0.74","False","True","True","878","为什么把密钥直接返回给前端是危险的？","Semantic router selected CODING with score 0.62, margin 0.06 and confidence 0.74; status=ROUTED, reason=ACCEPTED.","","localhost","74f7d921-bac5-4a14-89f9-eba456b26cc2","False","1fdadcab-ed58-4835-b6d6-2ecc5bab72b0"
